ID,Class
1,2
2,7
3,2
4,2
5,1
6,3
7,6
8,4
9,7
10,1
11,3
12,4
13,6
14,3
15,2
16,9
17,7
18,3
19,9
20,4
21,9
22,3
23,2
24,0
25,3
26,9
27,7
28,2
29,9
30,0
31,2
32,3
33,6
34,2
35,0
36,8
37,7
38,6
39,4
40,0
41,4
42,1
43,3
44,1
45,3
46,7
47,2
48,9
49,2
50,0
51,8
52,0
53,2
54,7
55,2
56,0
57,7
58,6
59,7
60,2
61,7
62,2
63,2
64,7
65,3
66,1
67,4
68,7
69,8
70,3
71,3
72,4
73,4
74,6
75,1
76,8
77,0
78,1
79,8
80,3
81,7
82,7
83,9
84,7
85,7
86,0
87,1
88,3
89,1
90,4
91,9
92,9
93,2
94,1
95,2
96,9
97,8
98,2
99,7
100,1
101,3
102,6
103,1
104,3
105,7
106,8
107,0
108,8
109,6
110,8
111,1
112,3
113,4
114,4
115,6
116,1
117,3
118,2
119,3
120,2
121,3
122,7
123,1
124,4
125,9
126,7
127,6
128,7
129,6
130,9
131,2
132,1
133,2
134,2
135,6
136,8
137,7
138,1
139,6
140,2
141,1
142,9
143,9
144,0
145,1
146,3
147,8
148,1
149,4
150,7
151,2
152,8
153,2
154,8
155,7
156,0
157,8
158,4
159,4
160,2
161,2
162,7
163,3
164,9
165,1
166,3
167,0
168,2
169,0
170,6
171,1
172,6
173,0
174,2
175,4
176,4
177,8
178,3
179,6
180,8
181,9
182,4
183,2
184,7
185,2
186,6
187,0
188,0
189,3
190,9
191,0
192,9
193,7
194,7
195,7
196,6
197,3
198,7
199,1
200,2
201,4
202,1
203,1
204,4
205,0
206,4
207,8
208,0
209,2
210,8
211,6
212,7
213,7
214,1
215,9
216,7
217,6
218,3
219,7
220,7
221,6
222,4
223,8
224,6
225,0
226,2
227,3
228,1
229,6
230,2
231,4
232,3
233,9
234,9
235,9
236,4
237,4
238,9
239,7
240,8
241,1
242,2
243,8
244,3
245,4
246,6
247,7
248,8
249,0
250,0
251,3
252,2
253,1
254,7
255,3
256,1
257,4
258,9
259,3
260,9
261,8
262,8
263,4
264,4
265,2
266,0
267,7
268,4
269,8
270,8
271,7
272,6
273,6
274,6
275,4
276,4
277,0
278,8
279,2
280,1
281,6
282,7
283,9
284,3
285,4
286,7
287,2
288,2
289,0
290,0
291,8
292,4
293,3
294,3
295,9
296,3
297,8
298,2
299,3
300,3
301,3
302,0
303,2
304,3
305,8
306,9
307,2
308,0
309,1
310,1
311,2
312,7
313,7
314,8
315,7
316,1
317,8
318,1
319,7
320,9
321,3
322,7
323,2
324,4
325,6
326,8
327,8
328,0
329,3
330,4
331,2
332,1
333,4
334,3
335,3
336,1
337,7
338,8
339,8
340,1
341,4
342,6
343,7
344,0
345,4
346,0
347,2
348,2
349,7
350,4
351,9
352,8
353,9
354,8
355,3
356,6
357,4
358,2
359,3
360,2
361,0
362,4
363,3
364,3
365,1
366,6
367,2
368,9
369,1
370,4
371,9
372,1
373,7
374,3
375,3
376,8
377,0
378,3
379,2
380,1
381,2
382,7
383,1
384,0
385,4
386,4
387,8
388,3
389,8
390,6
391,2
392,4
393,6
394,2
395,0
396,3
397,3
398,0
399,2
400,9
401,4
402,9
403,2
404,4
405,4
406,1
407,8
408,9
409,1
410,3
411,4
412,8
413,1
414,8
415,4
416,6
417,2
418,8
419,8
420,2
421,1
422,0
423,8
424,2
425,9
426,9
427,3
428,6
429,0
430,0
431,4
432,8
433,8
434,8
435,0
436,6
437,3
438,8
439,2
440,2
441,8
442,4
443,8
444,1
445,9
446,3
447,1
448,2
449,4
450,7
451,6
452,1
453,6
454,6
455,9
456,0
457,8
458,3
459,8
460,8
461,4
462,1
463,6
464,3
465,2
466,9
467,3
468,8
469,2
470,3
471,3
472,7
473,6
474,6
475,3
476,9
477,3
478,1
479,0
480,0
481,3
482,2
483,9
484,3
485,9
486,3
487,4
488,3
489,8
490,4
491,2
492,7
493,0
494,7
495,4
496,7
497,4
498,1
499,2
500,1
501,6
502,9
503,4
504,9
505,2
506,4
507,7
508,1
509,0
510,9
511,6
512,9
513,4
514,0
515,1
516,9
517,2
518,0
519,9
520,7
521,4
522,7
523,4
524,3
525,8
526,6
527,2
528,7
529,6
530,4
531,4
532,9
533,6
534,8
535,1
536,7
537,0
538,2
539,2
540,9
541,7
542,7
543,3
544,0
545,1
546,2
547,0
548,7
549,3
550,9
551,0
552,2
553,8
554,4
555,2
556,2
557,8
558,0
559,3
560,6
561,4
562,2
563,3
564,0
565,3
566,3
567,0
568,2
569,4
570,8
571,9
572,3
573,0
574,1
575,9
576,7
577,1
578,9
579,0
580,3
581,2
582,6
583,2
584,9
585,6
586,7
587,4
588,0
589,0
590,9
591,7
592,1
593,7
